SEX,AGER,EDUR,DEM02A,DEM02B,DEM02C,DEM02D,DEM02E,DEM02F,DEM02G,vahy,vlna
1,3,2,4,3,1,3,4,2,3,.691196494246599,26
1,3,2,5,3,3,3,5,4,4,1.70831583463989,26
1,3,2,4,4,1,4,1,4,4,.691196494246599,26
1,3,2,4,4,1,1,2,4,4,.737335224092886,26
1,3,2,5,5,5,5,2,2,5,.323080030842178,26
1,3,2,3,2,4,4,3,1,2,.303001839521044,26
1,2,4,2,2,2,2,2,1,1,.751524224343426,26
1,2,4,3,1,1,2,1,2,2,.984369291188787,26
2,2,4,2,2,2,3,2,2,2,2.00154648338002,26
2,2,4,3,3,2,3,1,2,3,2.02119543210423,26
1,4,1,4,4,1,1,1,4,4,.588374516953223,26
1,2,4,3,5,3,4,2,2,2,1.37076869690057,26
1,2,4,2,4,1,4,2,1,2,1.1939872554714,26
2,2,4,2,2,2,1,3,3,2,1.50751898453212,26
2,3,2,5,5,5,5,5,5,1,.864846445556122,26
1,3,2,2,2,3,2,2,3,3,.650122171443843,26
1,3,2,4,4,2,3,2,4,4,.41796625570871,26
2,5,1,4,2,5,1,1,3,2,2.11480314301736,26
2,3,2,4,3,1,1,1,3,3,1.17889521316354,26
2,5,1,4,3,3,3,2,1,3,1.47199493678063,26
1,2,2,5,5,5,5,5,5,5,.342253249610412,26
2,2,4,4,4,1,2,1,3,4,2.80756394480199,26
2,2,4,3,2,2,3,1,2,2,.906153282202733,26
1,4,1,4,2,1,2,1,2,2,2.90777333219425,26
1,3,2,4,3,1,2,1,3,3,.870303108810577,26
2,5,1,4,3,4,2,3,3,3,1.11359961144183,26
2,2,3,3,2,2,2,1,3,4,.435859504487281,26
1,3,2,3,4,2,2,2,4,3,.970593011646511,26
1,4,1,2,1,3,3,2,1,1,2.24791323500323,26
1,5,2,4,5,5,2,1,3,4,3.00278655832762,26
2,2,4,4,5,2,2,5,2,2,1.79398996172805,26
2,2,4,3,4,2,4,2,2,2,.698266688151975,26
2,2,4,2,2,2,4,3,2,2,1.69900945927167,26
